id_fiscal,no_fiscal,id_unico,fe_denuncia,fe_ing_caso,fe_asig,id_etapa,de_etapa,id_estado,de_estado,st_acumulado,tx_tipo_caso,condicion,fe_conclusion,de_mat_deli
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120190008680000,11/11/2019 09:24:00,11/11/2019 09:24:00,20/11/2019 08:55:38:05,1,INVESTIGACION PRELIMINAR,1014,ASIGNADO PNP (PRELIMINAR),N,D,EN TRAMITE,,ROBO AGRAVADO (MANO ARMADA)
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120190006770000,04/09/2019 11:55:00,04/09/2019 11:55:00,13/09/2019 09:35:37:226,1,INVESTIGACION PRELIMINAR,1005,CON INVESTIGACION PRELIMINAR,N,D,EN TRAMITE,,V.R.A. (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120210006450000,14/04/2021 14:11:00,14/04/2021 14:11:00,27/04/2021 17:43:15:133,1,INVESTIGACION PRELIMINAR,1005,CON INVESTIGACION PRELIMINAR,N,D,EN TRAMITE,,RESISTENCIA O DESOBEDIENCIA A LA AUTORIDAD
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120110001260000,15/04/2011 15:40:00,15/04/2011 15:40:00,04/09/2019 16:16:19:016,2,INVESTIGACION PREPARATORIA,2005,CONCLUSION INV. PREPARATORIA,N,D,EN TRAMITE,,VIOLACION DE LA LIBERTAD SEXUAL
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120120006720000,17/10/2012 11:29:00,17/10/2012 11:29:00,04/09/2019 16:57:37:506,2,INVESTIGACION PREPARATORIA,2005,CONCLUSION INV. PREPARATORIA,N,D,EN TRAMITE,,D.P.C. (FABR.SUMIN.POSES.DE EXPLOSIVOS)
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120120006720000,17/10/2012 11:29:00,17/10/2012 11:29:00,04/09/2019 16:57:37:506,2,INVESTIGACION PREPARATORIA,2005,CONCLUSION INV. PREPARATORIA,N,D,EN TRAMITE,,E.C.C.P. (ACTIVIDAD.COMER.NO.AUTORIZADA)
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120190009310000,05/12/2019 14:26:00,05/12/2019 14:26:00,05/12/2019 15:05:53:093,2,INVESTIGACION PREPARATORIA,2005,CONCLUSION INV. PREPARATORIA,N,D,EN TRAMITE,,ACTO CONTRA EL PUDOR EN MENORES - VÕCTIMA ES MENOR DE 7 A—OS
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120120002490000,07/03/2012 08:09:00,07/03/2012 08:09:00,04/09/2019 16:35:38:456,2,INVESTIGACION PREPARATORIA,2000,FORMALIZA INVESTIGACION PREPARATORIA,N,D,EN TRAMITE,,HOMICIDIO
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120100003210000,02/08/2010 07:53:00,02/08/2010 07:53:00,04/09/2019 16:06:00:873,4,ETAPA DE JUZGAMIENTO,4000,EN AUDIENCIA,N,D,EN TRAMITE,,LES.GRAV. (PELIGRO.INMINENTE.DE.LA.VIDA)
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120100003210000,02/08/2010 07:53:00,02/08/2010 07:53:00,04/09/2019 16:06:00:873,4,ETAPA DE JUZGAMIENTO,4000,EN AUDIENCIA,N,D,EN TRAMITE,,LESIONES
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120190004330000,17/05/2019 07:55:00,17/05/2019 07:55:00,10/09/2019 17:01:17:26,10,INVESTIGACION PREVENTIVA,10002,CON ARCHIVO DEFINITIVO (INV. PREVEN.),N,IP,INVESTIGACION PREVENTIVA,,DELITO CONTRA LA ADMINISTRACION PUBLICA
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120190007640000,01/10/2019 15:11:00,01/10/2019 15:11:00,02/10/2019 16:20:22:79,10,INVESTIGACION PREVENTIVA,10002,CON ARCHIVO DEFINITIVO (INV. PREVEN.),N,IP,INVESTIGACION PREVENTIVA,,USURPACION
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120220004110000,27/04/2022 14:39:00,27/04/2022 14:39:00,10/05/2022 10:47:35:133,10,INVESTIGACION PREVENTIVA,10004,DERIVADO PENAL,N,IP,INVESTIGACION PREVENTIVA,,CONTAMINACION (TR¡FICO ILEGAL DE RESIDUOS PELIGROSOS)
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120220004110000,27/04/2022 14:39:00,27/04/2022 14:39:00,10/05/2022 10:47:35:133,10,INVESTIGACION PREVENTIVA,10004,DERIVADO PENAL,N,IP,INVESTIGACION PREVENTIVA,,CONTAMINACION DEL AMBIENTE
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120170002740000,06/03/2017 17:38:00,06/03/2017 17:38:00,10/09/2019 15:04:03:903,10,INVESTIGACION PREVENTIVA,10001,EN INVESTIGACION PREVENTIVA,N,IP,INVESTIGACION PREVENTIVA,,CONTRA EL PATRIMONIO
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120200000410000,13/01/2020 13:25:00,13/01/2020 13:25:00,13/01/2020 13:56:13:83,10,INVESTIGACION PREVENTIVA,10001,EN INVESTIGACION PREVENTIVA,N,IP,INVESTIGACION PREVENTIVA,,ABUSO DE AUTORIDAD
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120200000410000,13/01/2020 13:25:00,13/01/2020 13:25:00,13/01/2020 13:56:13:83,10,INVESTIGACION PREVENTIVA,10001,EN INVESTIGACION PREVENTIVA,N,IP,INVESTIGACION PREVENTIVA,,C.F.P. (FALSIFICACION DOCUMENTARIA)
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120200000410000,13/01/2020 13:25:00,13/01/2020 13:25:00,13/01/2020 13:56:13:83,10,INVESTIGACION PREVENTIVA,10001,EN INVESTIGACION PREVENTIVA,N,IP,INVESTIGACION PREVENTIVA,,USURPACION (C/ARM.FUEG.EXPLOS.SUST.PEL.)
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120190002260000,04/03/2019 12:35:00,04/03/2019 12:35:00,10/09/2019 16:44:00:2,0,CALIFICACION,1013,0360605060120190001790000,S,D,RESUELTO,05/03/2021 10:34:56:766,FORMAS AGRAVADAS(LESIONES LEVES POR VIOLENCIA FAMILIAR)
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120190005460000,03/07/2019 08:33:00,03/07/2019 08:33:00,10/09/2019 17:01:17:366,0,CALIFICACION,1013,0360605060120190004680000,S,D,RESUELTO,22/07/2021 18:36:08:753,FORMAS AGRAVADAS(LESIONES LEVES POR VIOLENCIA FAMILIAR)
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120190006940000,06/09/2019 14:16:00,06/09/2019 14:16:00,13/09/2019 09:35:37:253,0,CALIFICACION,1013,0360605060120190006250000,S,D,RESUELTO,21/05/2021 16:37:12:973,FORMAS AGRAVADAS(LESIONES LEVES POR VIOLENCIA FAMILIAR)
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120190007330000,19/09/2019 07:15:00,19/09/2019 07:15:00,20/09/2019 10:39:30:256,0,CALIFICACION,1013,0360605060120190006710000,S,D,RESUELTO,15/01/2021 16:42:33:373,FORMAS AGRAVADAS(LESIONES LEVES POR VIOLENCIA FAMILIAR)
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120190008250000,22/10/2019 14:52:00,22/10/2019 14:52:00,24/10/2019 08:09:33:363,0,CALIFICACION,1013,0360605060120190008240000,S,D,RESUELTO,11/08/2022 15:28:54:313,V.R.A. (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120200002760000,02/09/2020 10:26:00,02/09/2020 10:26:00,18/09/2020 18:21:16:216,0,CALIFICACION,1013,0360605060120200000820000,S,D,RESUELTO,11/01/2021 14:59:09:313,LESIONES LEVES (AGRESIONES EN CONTRA DE LAS MUJERES O INTEGRANTES DEL GRUPO FAMILIAR -LESIONESÖ
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120210006320000,11/04/2021 17:00:00,11/04/2021 17:00:00,13/04/2021 12:13:04:276,0,CALIFICACION,1013,0360605060120200006030000,S,D,RESUELTO,11/12/2021 13:47:46:59,LESIONES LEVES (AGRESIONES EN CONTRA DE LAS MUJERES O INTEGRANTES DEL GRUPO FAMILIAR -LESIONESÖ
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120210007570000,11/05/2021 08:34:00,11/05/2021 08:34:00,02/06/2021 17:04:23:936,0,CALIFICACION,1013,0360605060120210002540000,S,D,RESUELTO,21/12/2022 14:34:08:41,LESIONES LEVES (AGRESIONES EN CONTRA DE LAS MUJERES O INTEGRANTES DEL GRUPO FAMILIAR -LESIONESÖ
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120210010500000,09/07/2021 16:43:00,09/07/2021 16:43:00,14/07/2021 12:10:15:816,0,CALIFICACION,1013,0360605060120210009120000,S,D,RESUELTO,20/01/2022 13:47:59:1,LESIONES LEVES (AGRESIONES EN CONTRA DE LAS MUJERES O INTEGRANTES DEL GRUPO FAMILIAR -LESIONESÖ
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120210011280000,23/07/2021 11:20:00,23/07/2021 11:20:00,03/08/2021 12:56:38:56,0,CALIFICACION,1013,0360605060120210010240000,S,D,RESUELTO,17/11/2021 07:45:49:313,LESIONES LEVES (AGRESIONES EN CONTRA DE LAS MUJERES O INTEGRANTES DEL GRUPO FAMILIAR -CON ENSA—AÖ
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120220003640000,12/04/2022 16:25:00,12/04/2022 16:25:00,22/04/2022 16:01:40:146,0,CALIFICACION,1002,0360605060120220002520000,S,D,RESUELTO,14/11/2022 16:49:25:76,AGRESIONES EN CONTRA DE LAS MUJERES O INTEGRANTES DEL GRUPO FAMILIAR (LESIONES CORPORALES MENOS DE 1
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120220003590000,12/04/2022 15:07:00,12/04/2022 15:07:00,22/04/2022 16:01:40:133,0,CALIFICACION,1002,0360605060120220003580000,S,D,RESUELTO,24/05/2022 19:27:25:73,V.R.A.- RESISTENCIA O DESOBEDIENCIA A LA AUTORIDAD (AGENTE DESOBEDECE  O RESISTE UNA MEDIDA DE PROTE
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120220003580000,12/04/2022 15:00:00,12/04/2022 15:00:00,22/04/2022 16:01:40:123,0,CALIFICACION,1002,0360605060120220003790000,S,D,RESUELTO,24/05/2022 19:30:52:313,AGRESIONES EN CONTRA DE LAS MUJERES O INTEGRANTES DEL GRUPO FAMILIAR (LESIONES CORPORALES MENOS DE 1
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120220006440000,19/07/2022 16:23:00,19/07/2022 16:23:00,03/08/2022 09:22:47:836,0,CALIFICACION,1002,0360605060120220005890000,S,D,RESUELTO,06/10/2022 17:02:05:503,AGRESIONES EN CONTRA DE LAS MUJERES O INTEGRANTES DEL GRUPO FAMILIAR (LESIONES CORPORALES MENOS DE 1
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120220006350000,15/07/2022 17:16:00,15/07/2022 17:16:00,19/07/2022 16:13:20:996,0,CALIFICACION,1013,0360605060120220006280000,S,D,RESUELTO,27/12/2022 07:54:41:04,AGRESIONES EN CONTRA DE LAS MUJERES O INTEGRANTES DEL GRUPO FAMILIAR (LESIONES CORPORALES MENOS DE 1
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120220008120000,22/08/2022 11:50:00,22/08/2022 11:50:00,25/08/2022 14:51:59:763,0,CALIFICACION,1002,0360605060120220007850000,S,D,RESUELTO,06/09/2022 17:07:01:196,AGRESIONES EN CONTRA DE LAS MUJERES O INTEGRANTES DEL GRUPO FAMILIAR (LESIONES CORPORALES MENOS DE 1
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120220009910000,11/10/2022 15:40:00,11/10/2022 15:40:00,19/10/2022 09:33:48:96,0,CALIFICACION,1002,0360605060120220010040000,S,D,RESUELTO,27/12/2022 07:31:00:24,AGRESIONES EN CONTRA DE LAS MUJERES O INTEGRANTES DEL GRUPO FAMILIAR (LESIONES CORPORALES MENOS DE 1
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120220010670000,28/10/2022 17:35:00,28/10/2022 17:35:00,09/11/2022 15:23:50:48,0,CALIFICACION,1002,0360605060120220010420000,S,D,RESUELTO,14/11/2022 09:20:59,AGRESIONES EN CONTRA DE LAS MUJERES O INTEGRANTES DEL GRUPO FAMILIAR (LESIONES CORPORALES MENOS DE 1
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120180007660000,20/07/2018 15:15:00,20/07/2018 15:15:00,10/09/2019 16:02:19:506,0,CALIFICACION,1003,ARCHIVO CONSENTIDO,N,D,RESUELTO,01/10/2022 16:07:24:896,ELABORAC.Y COMERC.CLANDEST.DE.PRODUCTOS)
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120180007940000,06/08/2018 08:11:00,06/08/2018 08:11:00,10/09/2019 16:02:19:53,0,CALIFICACION,1003,ARCHIVO CONSENTIDO,N,D,RESUELTO,22/11/2022 11:45:53:983,E.C.C.P. (ACTIVIDAD.COMER.NO.AUTORIZADA)
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120180008400000,20/08/2018 13:57:00,20/08/2018 13:57:00,10/09/2019 16:29:14:373,0,CALIFICACION,1003,ARCHIVO CONSENTIDO,N,D,RESUELTO,01/10/2022 16:09:20:356,E.C.C.P. (ACTIVIDAD.COMER.NO.AUTORIZADA)
