id_fiscal,fiscal,id_unico,etapa,estado,fh_estado,color,plazo,tipo_caso,dias,des_observacion_plazo,dias_paralizacion,dias_total_transcurrido
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120110001260000,INVESTIGACION PREPARATORIA,CONCLUSION INV. PREPARATORIA,9/09/2011 19:01:30:576,rojo.jpg,15,D,5032,Suspensión de Dias - Cuarentena,169,4863
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120120002490000,INVESTIGACION PREPARATORIA,FORMALIZA INVESTIGACION PREPARATORIA,8/03/2012 11:30:50,rojo.jpg,120,D,4851,Suspensión de Dias - Cuarentena,169,4682
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120120006720000,INVESTIGACION PREPARATORIA,CONCLUSION INV. PREPARATORIA,4/08/2013 09:52:52:383,rojo.jpg,15,D,4337,Suspensión de Dias - Cuarentena,169,4168
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120190006770000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,20/09/2019 09:38:09:28,rojo.jpg,60,D,2099,Suspensión de Dias - Cuarentena,169,1930
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120190008680000,INVESTIGACION PRELIMINAR,ASIGNADO PNP (PRELIMINAR),30/10/2020 12:11:37:943,rojo.jpg,60,D,1693,Suspensión de Dias - Cuarentena,0,1693
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120190009310000,INVESTIGACION PREPARATORIA,CONCLUSION INV. PREPARATORIA,10/04/2020 06:53:23:613,rojo.jpg,15,D,1896,Suspensión de Dias - Cuarentena,169,1727
MDBGN,BELTRAN GUTIERREZ NICO CLAUDIO,0360605060120210006450000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,6/07/2021 09:29:03:64,rojo.jpg,60,D,1444,Suspensión de Dias - Cuarentena,0,1444
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120140002390000,INVESTIGACION PREPARATORIA,CONCLUSION INV. PREPARATORIA,3/10/2014 10:33:31:103,rojo.jpg,15,D,3912,Suspensión de Dias - Cuarentena,169,3743
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120150002570000,INVESTIGACION PREPARATORIA,FORMALIZA INVESTIGACION PREPARATORIA,7/05/2015 21:43:23:7,rojo.jpg,120,D,3696,Suspensión de Dias - Cuarentena,169,3527
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120150004880000,INVESTIGACION PREPARATORIA,FORMALIZA INVESTIGACION PREPARATORIA,14/12/2015 09:46:47:146,rojo.jpg,120,D,3475,Suspensión de Dias - Cuarentena,169,3306
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120170001030000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,31/01/2017 11:21:28:93,rojo.jpg,60,D,3061,Con detenido,169,2892
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120170002260000,INVESTIGACION PREPARATORIA,FORMALIZA INVESTIGACION PREPARATORIA,7/06/2022 22:35:46:576,rojo.jpg,120,D,1108,Suspensión de Dias - Cuarentena,0,1108
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120170006320000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,22/05/2017 10:46:12:633,rojo.jpg,60,D,2950,Con detenido,169,2781
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120180008090000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,16/08/2018 07:32:41:663,rojo.jpg,60,D,2499,Suspensión de Dias - Cuarentena,169,2330
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120180010240000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,26/12/2018 12:28:44:19,rojo.jpg,60,D,2367,Suspensión de Dias - Cuarentena,169,2198
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120180011760000,INVESTIGACION PREPARATORIA,FORMALIZA INVESTIGACION PREPARATORIA,7/01/2019 15:36:57:713,rojo.jpg,120,D,2355,Suspensión de Dias - Cuarentena,169,2186
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120180012340000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,12/12/2018 10:12:50:04,rojo.jpg,60,D,2381,Suspensión de Dias - Cuarentena,169,2212
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120180012830000,INVESTIGACION PREPARATORIA,FORMALIZA INVESTIGACION PREPARATORIA,19/10/2022 20:20:11:443,rojo.jpg,120,D,974,Suspensión de Dias - Cuarentena,0,974
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120190000390000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,21/01/2019 15:04:29:43,rojo.jpg,60,D,2341,Suspensión de Dias - Cuarentena,169,2172
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120190004360000,INVESTIGACION PREPARATORIA,FORMALIZA INVESTIGACION PREPARATORIA,28/04/2021 12:32:45:766,rojo.jpg,120,D,1513,Suspensión de Dias - Cuarentena,0,1513
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120190006790000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,11/10/2019 23:33:51:633,rojo.jpg,60,D,2078,Suspensión de Dias - Cuarentena,169,1909
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120190007810000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,9/10/2019 23:13:40:42,rojo.jpg,60,D,2080,Suspensión de Dias - Cuarentena,169,1911
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120200000290000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,16/01/2020 13:44:55:47,rojo.jpg,60,D,1981,Suspensión de Dias - Cuarentena,169,1812
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120200001110000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,11/01/2021 17:57:33:113,rojo.jpg,60,D,1620,Suspensión de Dias - Cuarentena,0,1620
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120200001710000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,23/09/2020 15:56:45:34,rojo.jpg,60,D,1730,Suspensión de Dias - Cuarentena,0,1730
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120200002330000,INVESTIGACION PREPARATORIA,CONCLUSION INV. PREPARATORIA,29/01/2021 13:23:28:846,rojo.jpg,15,D,1602,Suspensión de Dias - Cuarentena,0,1602
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120200002500000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,23/09/2020 16:02:57:366,rojo.jpg,60,D,1730,Suspensión de Dias - Cuarentena,0,1730
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120200002520000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,23/09/2020 16:02:57:393,rojo.jpg,60,D,1730,Suspensión de Dias - Cuarentena,0,1730
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120200003370000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,8/12/2020 15:20:13:57,rojo.jpg,60,D,1654,Suspensión de Dias - Cuarentena,0,1654
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120200003380000,INVESTIGACION PRELIMINAR,ASIGNADO PNP (PRELIMINAR),5/11/2020 10:43:20:746,rojo.jpg,60,D,1687,Suspensión de Dias - Cuarentena,0,1687
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120210001540000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,5/02/2021 11:04:14:406,rojo.jpg,90,D,1595,Suspensión de Dias - Cuarentena,0,1595
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120210002430000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,22/03/2022 09:49:17:346,rojo.jpg,60,D,1185,Suspensión de Dias - Cuarentena,0,1185
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120210003890000,INVESTIGACION PREPARATORIA,FORMALIZA INVESTIGACION PREPARATORIA,15/01/2024 07:59:58:856,rojo.jpg,120,D,521,Suspensión de Dias - Cuarentena,0,521
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120210004190000,INVESTIGACION PRELIMINAR,CON INVESTIGACION PRELIMINAR,9/08/2021 11:16:33:973,rojo.jpg,60,D,1410,Suspensión de Dias - Cuarentena,0,1410
MDDCG,CHOQUE GARCIA FEDERICO,0360605060120210006410000,INVESTIGACION PRELIMINAR,ASIGNADO PNP (PRELIMINAR),30/04/2021 16:25:58:28,rojo.jpg,60,D,1511,Suspensión de Dias - Cuarentena,0,1511
